Type,Details,Product,Date,Before,Change,Balance
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082734581) (2 of 2),Sportsbook,"Dec 21, 2024, 8:56pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082734581) (1 of 2),Sportsbook,"Dec 21, 2024, 8:56pm ET",$184.31,-$5.00,$179.31
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000014),Sportsbook,"Dec 21, 2024, 7:10pm ET",$158.60,#ERROR!,$184.31
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000015),Sportsbook,"Dec 21, 2024, 6:59pm ET",$136.10,#ERROR!,$158.60
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082707974) (2 of 2),Sportsbook,"Dec 21, 2024, 6:23pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082707974) (1 of 2),Sportsbook,"Dec 21, 2024, 6:23pm ET",$146.10,-$10.00,$136.10
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082704243) (2 of 2),Sportsbook,"Dec 21, 2024, 6:02pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082704243) (1 of 2),Sportsbook,"Dec 21, 2024, 6:02pm ET",$156.10,-$10.00,$146.10
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082625575) (2 of 2),Sportsbook,"Dec 21, 2024, 11:35am ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082625575) (1 of 2),Sportsbook,"Dec 21, 2024, 11:35am ET",$166.10,-$10.00,$156.10
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082624888) (2 of 2),Sportsbook,"Dec 21, 2024, 11:31am ET",5,-1,4
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082624888) (1 of 2),Sportsbook,"Dec 21, 2024, 11:31am ET",$176.10,-$10.00,$166.10
Bonus,Sports Profit Boost Awarded: 10NFLLPBT1221,Sportsbook,"Dec 21, 2024, 10:38am ET",4,1,5
Bonus,Sports Profit Boost Awarded: 10UTOSUPBT1221,Sportsbook,"Dec 21, 2024, 9:38am ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10CLEMPBT1221,Sportsbook,"Dec 21, 2024, 9:38am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10SMUPSUPB1221,Sportsbook,"Dec 21, 2024, 9:38am ET",1,1,2
Bonus,No sweat token award 5CFBNST1220,Sportsbook,"Dec 21, 2024, 9:38am ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082573707) (2 of 2),Sportsbook,"Dec 20, 2024, 8:23pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082573707) (1 of 2),Sportsbook,"Dec 20, 2024, 8:23pm ET",$186.10,-$10.00,$176.10
Bonus,Sports Profit Boost Awarded: 10INDNDPBT1220,Sportsbook,"Dec 20, 2024, 8:15pm ET",0,1,1
Wallet transfer,Transfer in from OH to CT,Sportsbook,"Dec 20, 2024, 8:15pm ET",$0.00,#ERROR!,$186.10
Wallet transfer,Transfer out from CT,Sportsbook,"Oct 3, 2024, 5:20pm ET",$151.26,-$151.26,$0.00
Bonus,Automated expiry,Sportsbook,"Sep 30, 2024, 2:16am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072761816) (2 of 2),Sportsbook,"Sep 29, 2024, 4:22pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072761816) (1 of 2),Sportsbook,"Sep 29, 2024, 4:22pm ET",$161.26,-$10.00,$151.26
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072670911) (2 of 2),Sportsbook,"Sep 29, 2024, 11:41am ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072670911) (1 of 2),Sportsbook,"Sep 29, 2024, 11:41am ET",$171.26,-$10.00,$161.26
Bonus,Sports Profit Boost Awarded: 10SNFSGPPBT929,Sportsbook,"Sep 29, 2024, 8:40am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10NFLSGPPBT929,Sportsbook,"Sep 29, 2024, 8:40am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10GRONKTDPB929,Sportsbook,"Sep 29, 2024, 8:40am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 29, 2024, 4:00am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000008),Sportsbook,"Sep 28, 2024, 11:33pm ET",$147.56,#ERROR!,$171.26
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072591494) (2 of 2),Sportsbook,"Sep 28, 2024, 8:33pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072591494) (1 of 2),Sportsbook,"Sep 28, 2024, 8:33pm ET",$157.56,-$10.00,$147.56
Wallet transfer,Transfer in from MA to CT,Sportsbook,"Sep 28, 2024, 7:27pm ET",1,1,2
Wallet transfer,Transfer in from MA to CT,Sportsbook,"Sep 28, 2024, 7:27pm ET",$0.00,#ERROR!,$157.56
Wallet transfer,Transfer in from MA to CT,Sportsbook,"Sep 28, 2024, 7:27pm ET",0,1,1
Wallet transfer,Transfer out from CT,Sportsbook,"Sep 28, 2024, 3:36pm ET",$157.56,-$157.56,$0.00
Wallet transfer,Transfer in from NY to CT,Sportsbook,"Sep 28, 2024, 9:49am ET",$0.00,#ERROR!,$157.56
Wallet transfer,Transfer out from CT,Sportsbook,"Sep 27, 2024, 10:15pm ET",$157.56,-$157.56,$0.00
Bonus,Automated expiry,Sportsbook,"Sep 24, 2024, 2:09am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072194554) (2 of 2),Sportsbook,"Sep 23, 2024, 8:33pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072194554) (1 of 2),Sportsbook,"Sep 23, 2024, 8:33pm ET",$167.56,-$10.00,$157.56
Bonus,Automated expiry,Sportsbook,"Sep 23, 2024, 2:28am ET",3,-1,2
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000006),Sportsbook,"Sep 22, 2024, 11:21pm ET",$137.62,#ERROR!,$167.56
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000005),Sportsbook,"Sep 22, 2024, 7:45pm ET",$109.74,#ERROR!,$137.62
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072094237) (2 of 2),Sportsbook,"Sep 22, 2024, 7:31pm ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072094237) (1 of 2),Sportsbook,"Sep 22, 2024, 7:31pm ET",$119.74,-$10.00,$109.74
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072068262) (2 of 2),Sportsbook,"Sep 22, 2024, 4:19pm ET",5,-1,4
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072068262) (1 of 2),Sportsbook,"Sep 22, 2024, 4:19pm ET",$129.74,-$10.00,$119.74
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072026701) (2 of 2),Sportsbook,"Sep 22, 2024, 1:40pm ET",6,-1,5
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072026701) (1 of 2),Sportsbook,"Sep 22, 2024, 1:40pm ET",$139.74,-$10.00,$129.74
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00072000594),Sportsbook,"Sep 22, 2024, 12:38pm ET",$149.74,-$10.00,$139.74
Bonus,Sports Profit Boost Awarded: 10GRONKTDPB922,Sportsbook,"Sep 22, 2024, 12:09pm ET",5,1,6
Bonus,Sports Profit Boost Awarded: 10MNFPBTRS923,Sportsbook,"Sep 22, 2024, 9:29am ET",4,1,5
Bonus,Sports Profit Boost Awarded: 10MNFPBTRS923,Sportsbook,"Sep 22, 2024, 9:29am ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10SNFSGPPBT922,Sportsbook,"Sep 22, 2024, 9:29am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10NFLSGPPBT922,Sportsbook,"Sep 22, 2024, 9:28am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10DOUBMLPBT922,Sportsbook,"Sep 22, 2024, 9:28am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 22, 2024, 12:14am ET",1,-1,0
Wallet transfer,Transfer in from NY to CT,Sportsbook,"Sep 21, 2024, 11:33pm ET",$125.24,#ERROR!,$149.74
Wallet transfer,Transfer in from OH to CT,Sportsbook,"Sep 21, 2024, 11:11pm ET",$98.82,#ERROR!,$125.24
Wallet transfer,Transfer in from NY to CT,Sportsbook,"Sep 21, 2024, 5:28pm ET",0,1,1
Wallet transfer,Transfer in from NY to CT,Sportsbook,"Sep 21, 2024, 5:28pm ET",$0.00,#ERROR!,$98.82
Wallet transfer,Transfer out from CT,Sportsbook,"Jan 28, 2024, 5:04pm ET",$85.42,-$85.42,$0.00
Bonus,Automated expiry,Sportsbook,"Jan 28, 2024, 2:04am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CBBPARPBT0127,Sportsbook,"Jan 27, 2024, 10:25am ET",0,1,1
Wallet transfer,Transfer in from OH to CT,Sportsbook,"Jan 27, 2024, 10:25am ET",$0.00,#ERROR!,$85.42
Wallet transfer,Transfer out from IL,Sportsbook,"Aug 30, 2025, 7:13am ET",$458.11,-$458.11,$0.00
Wallet transfer,Transfer in from OH to IL,Sportsbook,"Aug 22, 2025, 1:12pm ET",$0.00,#ERROR!,$458.11
Wallet transfer,Transfer out from IN,Sportsbook,"May 8, 2024, 7:02pm ET",$94.85,-$94.85,$0.00
Wallet transfer,Transfer in from OH to IN,Sportsbook,"May 3, 2024, 11:00pm ET",$0.00,#ERROR!,$94.85
Wallet transfer,Transfer out from MA,Sportsbook,"Mar 14, 2025, 8:43pm ET",$291.53,-$291.53,$0.00
Bonus,Automated expiry,Sportsbook,"Mar 13, 2025, 11:44pm ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10CBBMLPBT0313,Sportsbook,"Mar 13, 2025, 2:45pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Mar 12, 2025, 11:33pm ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10CBBMLPBT0312,Sportsbook,"Mar 12, 2025, 10:15pm ET",0,1,1
Wallet transfer,Transfer in from OH to MA,Sportsbook,"Mar 12, 2025, 10:14pm ET",$0.00,#ERROR!,$291.53
Wallet transfer,Transfer out from MA,Sportsbook,"Dec 14, 2024, 2:10pm ET",$186.10,-$186.10,$0.00
Wallet transfer,Transfer in from OH to MA,Sportsbook,"Dec 8, 2024, 5:59pm ET",$0.00,#ERROR!,$186.10
Wallet transfer,Transfer out from MA,Sportsbook,"Sep 28, 2024, 7:27pm ET",1,-1,0
Wallet transfer,Transfer out from MA,Sportsbook,"Sep 28, 2024, 7:27pm ET",2,-1,1
Wallet transfer,Transfer out from MA,Sportsbook,"Sep 28, 2024, 7:27pm ET",$157.56,-$157.56,$0.00
Bonus,Sports Profit Boost Awarded: 10CFBBMOCPB928,Sportsbook,"Sep 28, 2024, 3:36pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CFBPARPBT927,Sportsbook,"Sep 28, 2024, 3:36pm ET",0,1,1
Wallet transfer,Transfer in from CT to MA,Sportsbook,"Sep 28, 2024, 3:36pm ET",$0.00,#ERROR!,$157.56
Wallet transfer,Transfer out from MA,Sportsbook,"Mar 28, 2024, 6:05pm ET",$89.71,-$89.71,$0.00
Bonus,Automated expiry,Sportsbook,"Mar 25, 2024, 2:03am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0148834/00069480805) (2 of 2),Sportsbook,"Mar 24, 2024, 11:57pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0148834/00069480805) (1 of 2),Sportsbook,"Mar 24, 2024, 11:57pm ET",$99.71,-$10.00,$89.71
Bonus,Sports Profit Boost Awarded: 10CBBPARPBT0324,Sportsbook,"Mar 24, 2024, 3:01pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CBBANYPBT0324,Sportsbook,"Mar 24, 2024, 3:01pm ET",0,1,1
Wallet transfer,Transfer in from CO to MA,Sportsbook,"Mar 24, 2024, 3:00pm ET",$0.00,#ERROR!,$99.71
Wallet transfer,Transfer out from MA,Sportsbook,"Mar 4, 2024, 8:26pm ET",$109.71,-$109.71,$0.00
Wallet transfer,Transfer in from VT to MA,Sportsbook,"Feb 25, 2024, 11:28am ET",$0.00,#ERROR!,$109.71
Wallet transfer,Transfer out from MR,Sportsbook,"Sep 28, 2024, 9:14am ET",$157.56,-$157.56,$0.00
Wallet transfer,Transfer in from CT to MR,Sportsbook,"Sep 27, 2024, 10:15pm ET",$0.00,#ERROR!,$157.56
Wallet transfer,Transfer out from NJ,Sportsbook,"Apr 11, 2025, 3:26pm ET",$391.06,-$391.06,$0.00
Wallet transfer,Transfer in from OH to NJ,Sportsbook,"Apr 8, 2025, 9:10pm ET",$0.00,#ERROR!,$391.06
Wallet transfer,Transfer out from NJ,Sportsbook,"Sep 6, 2024, 3:19pm ET",$81.84,-$81.84,$0.00
Bonus,Automated expiry,Sportsbook,"Sep 6, 2024, 2:22am ET",1,-1,0
Bonus,No sweat token award 10NFLBALNST906,Sportsbook,"Sep 5, 2024, 9:25pm ET",0,1,1
Wallet transfer,Transfer in from OH to NJ,Sportsbook,"Sep 5, 2024, 9:24pm ET",$0.00,#ERROR!,$81.84
Wallet transfer,Transfer out from NJ,Sportsbook,"Apr 13, 2024, 5:57pm ET",$87.99,-$87.99,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/2160557/0000006),Sportsbook,"Apr 8, 2024, 11:30pm ET",$71.97,#ERROR!,$87.99
Wager,Sports: Bet Placed (Transaction ID: S/2160557/00261722027) (2 of 2),Sportsbook,"Apr 8, 2024, 10:55pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/2160557/00261722027) (1 of 2),Sportsbook,"Apr 8, 2024, 10:55pm ET",$81.97,-$10.00,$71.97
Bonus,Sports Profit Boost Awarded: 10CBBANYPBT408,Sportsbook,"Apr 8, 2024, 9:18pm ET",0,1,1
Wallet transfer,Transfer in from NY to NJ,Sportsbook,"Apr 8, 2024, 9:18pm ET",$0.00,#ERROR!,$81.97
Wallet transfer,Transfer out from NJ,Sportsbook,"Mar 13, 2024, 9:01am ET",$109.71,-$109.71,$0.00
Wallet transfer,Transfer in from MA to NJ,Sportsbook,"Mar 4, 2024, 8:26pm ET",$0.00,#ERROR!,$109.71
Wallet transfer,Transfer out from NJ,Sportsbook,"Feb 7, 2024, 7:41pm ET",$89.31,-$89.31,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/2160557/0000005),Sportsbook,"Jan 31, 2024, 8:47pm ET",$60.42,#ERROR!,$89.31
Wager,Sports: Bet Placed (Transaction ID: S/2160557/00241072779),Sportsbook,"Jan 31, 2024, 8:32pm ET",$75.42,-$15.00,$60.42
Wager,Sports: Bet Placed (Transaction ID: S/2160557/00240108000) (2 of 2),Sportsbook,"Jan 28, 2024, 5:09pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/2160557/00240108000) (1 of 2),Sportsbook,"Jan 28, 2024, 5:09pm ET",$85.42,-$10.00,$75.42
Bonus,Sports Profit Boost Awarded: 10NFLLIVEPB0128,Sportsbook,"Jan 28, 2024, 5:04pm ET",0,1,1
Wallet transfer,Transfer in from CT to NJ,Sportsbook,"Jan 28, 2024, 5:04pm ET",$0.00,#ERROR!,$85.42
Wallet transfer,Transfer out from NY,Sportsbook,"Oct 4, 2025, 12:12pm ET",$396.39,-$396.39,$0.00
Bonus,Automated expiry,Sportsbook,"Oct 1, 2025, 2:02am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10MLBWCPBT930,Sportsbook,"Sep 30, 2025, 8:44pm ET",0,1,1
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Sep 30, 2025, 8:44pm ET",$0.00,#ERROR!,$396.39
Wallet transfer,Transfer out from NY,Sportsbook,"Sep 11, 2025, 7:48pm ET",$425.80,-$425.80,$0.00
Bonus,Automated expiry,Sportsbook,"Sep 7, 2025, 12:03am ET",0,-1,-1
Bonus,Automated expiry,Sportsbook,"Sep 6, 2025, 12:06am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Sep 5, 2025, 2:00am ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00868043271),Sportsbook,"Sep 5, 2025, 1:38am ET",$435.80,-$10.00,$425.80
Bonus,No sweat token award 5KCLACNST0905,Sportsbook,"Sep 5, 2025, 1:35am ET",2,1,3
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00868042767) (2 of 2),Sportsbook,"Sep 5, 2025, 1:34am ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00868042767) (1 of 2),Sportsbook,"Sep 5, 2025, 1:34am ET",$445.80,-$10.00,$435.80
Bonus,Sports Profit Boost Awarded: 10BMOCPBT0906,Sportsbook,"Sep 5, 2025, 1:29am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10BWTBPBT0904,Sportsbook,"Sep 5, 2025, 1:29am ET",1,1,2
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Sep 4, 2025, 10:19pm ET",0,1,1
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Sep 4, 2025, 10:19pm ET",$0.00,#ERROR!,$445.80
Wallet transfer,Transfer out from NY,Sportsbook,"Mar 27, 2025, 8:20pm ET",1,-1,0
Wallet transfer,Transfer out from NY,Sportsbook,"Mar 27, 2025, 8:20pm ET",2,-1,1
Wallet transfer,Transfer out from NY,Sportsbook,"Mar 27, 2025, 8:20pm ET",$296.53,-$296.53,$0.00
Bonus,Sports Profit Boost Awarded: 10CBBPBT0327,Sportsbook,"Mar 27, 2025, 8:25am ET",1,1,2
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Mar 27, 2025, 8:25am ET",0,1,1
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Mar 27, 2025, 8:25am ET",$0.00,#ERROR!,$296.53
Wallet transfer,Transfer out from NY,Sportsbook,"Mar 5, 2025, 6:54pm ET",$257.27,-$257.27,$0.00
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Feb 25, 2025, 7:38pm ET",$0.00,#ERROR!,$257.27
Wallet transfer,Transfer out from NY,Sportsbook,"Feb 23, 2025, 3:36pm ET",$257.27,-$257.27,$0.00
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00736940713) (2 of 2),Sportsbook,"Feb 22, 2025, 6:19pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00736940713) (1 of 2),Sportsbook,"Feb 22, 2025, 6:19pm ET",$267.27,-$10.00,$257.27
Bonus,Sports Profit Boost Awarded: 10BMOCPBT0222,Sportsbook,"Feb 22, 2025, 10:04am ET",0,1,1
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Feb 22, 2025, 10:04am ET",$0.00,#ERROR!,$267.27
Wallet transfer,Transfer out from NY,Sportsbook,"Jan 3, 2025, 8:20pm ET",$220.88,-$220.88,$0.00
Bonus,Automated expiry,Sportsbook,"Jan 3, 2025, 2:59am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jan 3, 2025, 2:53am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10CFBPLAYPB101,Sportsbook,"Jan 2, 2025, 4:27pm ET",1,1,2
Bonus,No sweat token award 5CFBNST0101,Sportsbook,"Jan 2, 2025, 4:27pm ET",0,1,1
Wallet transfer,Transfer in from CT to NY,Sportsbook,"Jan 2, 2025, 4:27pm ET",$0.00,#ERROR!,$220.88
Wallet transfer,Transfer out from NY,Sportsbook,"Nov 1, 2024, 6:41pm ET",$161.69,-$161.69,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/1682107/0000020),Sportsbook,"Oct 27, 2024, 3:58pm ET",$143.58,#ERROR!,$161.69
Bonus,Automated expiry,Sportsbook,"Oct 27, 2024, 12:18am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/1682107/0000019),Sportsbook,"Oct 26, 2024, 7:37pm ET",$116.39,#ERROR!,$143.58
Bonus,Automated expiry,Sportsbook,"Oct 25, 2024, 3:51am ET",2,-1,1
Bonus,Automated expiry,Sportsbook,"Oct 25, 2024, 12:24am ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00618187291),Sportsbook,"Oct 24, 2024, 2:10pm ET",$126.39,-$10.00,$116.39
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00618185439),Sportsbook,"Oct 24, 2024, 2:07pm ET",$136.39,-$10.00,$126.39
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00618174719) (2 of 2),Sportsbook,"Oct 24, 2024, 1:50pm ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00618174719) (1 of 2),Sportsbook,"Oct 24, 2024, 1:50pm ET",$146.39,-$10.00,$136.39
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00618174474) (2 of 2),Sportsbook,"Oct 24, 2024, 1:49pm ET",5,-1,4
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00618174474) (1 of 2),Sportsbook,"Oct 24, 2024, 1:49pm ET",$161.39,-$15.00,$146.39
Bonus,Sports Profit Boost Awarded: 10BMOCPBT1024,Sportsbook,"Oct 24, 2024, 1:33pm ET",4,1,5
Bonus,Sports Profit Boost Awarded: 10CFBANYPB1024,Sportsbook,"Oct 24, 2024, 1:32pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10NBASGPPB1024,Sportsbook,"Oct 24, 2024, 1:32pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10NFLTNFPB1024,Sportsbook,"Oct 24, 2024, 1:32pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 25TNFSGPPB1024,Sportsbook,"Oct 24, 2024, 1:32pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00616210943) (2 of 2),Sportsbook,"Oct 21, 2024, 9:49pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00616210943) (1 of 2),Sportsbook,"Oct 21, 2024, 9:49pm ET",$171.39,-$10.00,$161.39
Bonus,Sports Profit Boost Awarded: 10NFLSGPPB1021,Sportsbook,"Oct 21, 2024, 9:44pm ET",0,1,1
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Oct 21, 2024, 9:44pm ET",$0.00,#ERROR!,$171.39
Wallet transfer,Transfer out from NY,Sportsbook,"Oct 3, 2024, 7:14pm ET",1,-1,0
Wallet transfer,Transfer out from NY,Sportsbook,"Oct 3, 2024, 7:14pm ET",$151.26,-$151.26,$0.00
Wallet transfer,Transfer out from NY,Sportsbook,"Oct 3, 2024, 7:14pm ET",2,-1,1
Bonus,No sweat token award 10TNFBUCNST103,Sportsbook,"Oct 3, 2024, 5:20pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10TNFPBT103,Sportsbook,"Oct 3, 2024, 5:20pm ET",0,1,1
Wallet transfer,Transfer in from CT to NY,Sportsbook,"Oct 3, 2024, 5:20pm ET",$0.00,#ERROR!,$151.26
Wallet transfer,Transfer out from NY,Sportsbook,"Sep 28, 2024, 9:49am ET",$157.56,-$157.56,$0.00
Wallet transfer,Transfer in from MR to NY,Sportsbook,"Sep 28, 2024, 9:14am ET",$0.00,#ERROR!,$157.56
Wallet transfer,Transfer out from NY,Sportsbook,"Sep 21, 2024, 11:33pm ET",$24.50,-$24.50,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/1682107/0000014),Sportsbook,"Sep 21, 2024, 11:33pm ET",$0.00,#ERROR!,$24.50
Wallet transfer,Transfer out from NY,Sportsbook,"Sep 21, 2024, 5:28pm ET",$98.82,-$98.82,$0.00
Wallet transfer,Transfer out from NY,Sportsbook,"Sep 21, 2024, 5:28pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00590055218),Sportsbook,"Sep 21, 2024, 4:24pm ET",$108.82,-$10.00,$98.82
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00590022634) (2 of 2),Sportsbook,"Sep 21, 2024, 3:51pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00590022634) (1 of 2),Sportsbook,"Sep 21, 2024, 3:51pm ET",$118.82,-$10.00,$108.82
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Sep 21, 2024, 3:38pm ET",1,1,2
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Sep 21, 2024, 3:38pm ET",0,1,1
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Sep 21, 2024, 3:38pm ET",$0.00,#ERROR!,$118.82
Wallet transfer,Transfer out from NY,Sportsbook,"Sep 8, 2024, 12:51pm ET",$135.54,-$135.54,$0.00
Bonus,Automated expiry,Sportsbook,"Sep 8, 2024, 3:00am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/1682107/0000012),Sportsbook,"Sep 7, 2024, 3:29pm ET",$117.86,#ERROR!,$135.54
Winnings,Sports: Bet Settled (Bet ID: O/1682107/0000011),Sportsbook,"Sep 6, 2024, 11:48pm ET",$63.84,#ERROR!,$117.86
Winnings,Sports: Bet Settled (Bet ID: O/1682107/0000010),Sportsbook,"Sep 6, 2024, 11:47pm ET",$41.84,#ERROR!,$63.84
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578345160) (2 of 2),Sportsbook,"Sep 6, 2024, 3:37pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578345160) (1 of 2),Sportsbook,"Sep 6, 2024, 3:37pm ET",$51.84,-$10.00,$41.84
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578344511) (2 of 2),Sportsbook,"Sep 6, 2024, 3:36pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578344511) (1 of 2),Sportsbook,"Sep 6, 2024, 3:36pm ET",$61.84,-$10.00,$51.84
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578342120) (2 of 2),Sportsbook,"Sep 6, 2024, 3:33pm ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578342120) (1 of 2),Sportsbook,"Sep 6, 2024, 3:33pm ET",$71.84,-$10.00,$61.84
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578335427) (2 of 2),Sportsbook,"Sep 6, 2024, 3:23pm ET",5,-1,4
Wager,Sports: Bet Placed (Transaction ID: S/1682107/00578335427) (1 of 2),Sportsbook,"Sep 6, 2024, 3:23pm ET",$81.84,-$10.00,$71.84
Bonus,No sweat token award 10GBPHINST96,Sportsbook,"Sep 6, 2024, 3:21pm ET",4,1,5
Bonus,Sports Profit Boost Awarded: 10TNNCCFBPB907,Sportsbook,"Sep 6, 2024, 3:20pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10TXMICFBPB907,Sportsbook,"Sep 6, 2024, 3:20pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10CFBPARPBT906,Sportsbook,"Sep 6, 2024, 3:20pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10GBPHIPBT96,Sportsbook,"Sep 6, 2024, 3:20pm ET",0,1,1
Wallet transfer,Transfer in from NJ to NY,Sportsbook,"Sep 6, 2024, 3:19pm ET",$0.00,#ERROR!,$81.84
Wallet transfer,Transfer out from NY,Sportsbook,"Apr 8, 2024, 9:18pm ET",$81.97,-$81.97,$0.00
Wallet transfer,Transfer in from OH to NY,Sportsbook,"Apr 8, 2024, 7:57pm ET",$0.00,#ERROR!,$81.97
Wallet transfer,Transfer out from NY,Sportsbook,"Feb 24, 2024, 3:06pm ET",$109.71,-$109.71,$0.00
